frame,sim_time,fwd_cmd,turn_cmd,left_valve_mA,right_valve_mA,left_valve_pos,right_valve_pos,left_flow,right_flow,left_rpm,right_rpm,left_vel,right_vel,heading,pid_out,pid_error,pid_p,pid_i,pid_d,left_eff
0,1.104,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
1,1.120,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
2,1.136,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
3,1.152,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
4,1.168,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
5,1.184,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
6,1.200,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
7,1.216,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
8,1.232,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
9,1.248,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
10,1.264,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
11,1.280,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
12,1.296,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
13,1.312,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
14,1.328,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
15,1.344,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
16,1.360,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
17,1.376,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
18,1.392,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
19,1.408,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
20,1.424,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
21,1.440,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
22,1.456,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
23,1.472,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
24,1.488,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
25,1.504,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
26,1.520,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
27,1.536,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
28,1.552,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
29,1.568,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
30,1.584,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
31,1.600,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
32,1.616,0.0,0.0,0.0,0.0,0.0000,0.0000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.950
